Year,total_pba
1970,13187190
1971,13097210
1972,13750510
1973,14541350
1974,14532350
1975,14611880
1976,15426670
1977,15935210
1978,16371770
1979,16847560
1980,16651070
1981,16405320
1982,16227260
1983,16359100
1984,16944700
1985,17152240
1986,17447050
1987,18051690
1988,18656610
1989,19011140
1990,19410040
1991,19541840
1992,19466050
1993,19593940
1994,19671920
1995,20217740
1996,20641890
1997,20897590
1998,21021650
1999,21111760
2000,21813410
2001,22158960
2002,22534640
2003,23550100
2004,24637680
2005,25496160
2006,26265290
2007,27284330
2008,27428860
2009,27070450
2010,28660460
2011,29521140
2012,29802460
2013,30317280
2014,30475090
2015,30392160
2016,30394960
2017,30724100